"Notes","States","States Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval
,"Alabama","01",83517,55461332,134.5,133.6,135.5
,"Alaska","02",8743,8758639,119.6,116.9,122.5
,"Arizona","04",85235,75536881,99.9,99.2,100.5
,"Arkansas","05",51882,33995829,134.4,133.2,135.5
,"California","06",519755,445241470,123.1,122.8,123.5
,"Colorado","08",74725,61417238,125.5,124.5,126.4
,"Connecticut","09",69562,41532231,146.2,145.1,147.3
,"Delaware","10",19473,10466704,154.0,151.8,156.2
,"District of Columbia","11",10970,7048912,171.4,168.2,174.7
,"Florida","12",382578,223796808,128.7,128.3,129.2
,"Georgia","13",158944,113069296,148.7,148.0,149.5
,"Hawaii","15",20558,16404344,109.8,108.3,111.3
,"Idaho","16",27787,18991740,138.8,137.2,140.5
,"Illinois","17",214461,150281322,138.9,138.4,139.6
,"Indiana","18",96627,76607755,120.3,119.6,121.1
,"Iowa","19",55287,36420067,132.6,131.5,133.8
,"Kansas","20",49710,33873731,140.1,138.8,141.3
,"Kentucky","21",70668,51039111,127.3,126.3,128.2
,"Louisiana","22",86224,53347468,156.5,155.4,157.6
,"Maine","23",26305,15632030,127.8,126.2,129.4
,"Maryland","24",106762,67502851,149.7,148.8,150.6
,"Massachusetts","25",117227,77505752,134.8,134.0,135.6
,"Michigan","26",194062,118104764,146.9,146.2,147.6
,"Minnesota","27",97982,63765576,144.0,143.0,144.9
,"Mississippi","28",46793,28669041,149.0,147.6,150.4
,"Missouri","29",92570,69909683,117.2,116.4,118.0
,"Montana","30",22178,12029563,146.9,145.0,148.9
,"Nebraska","31",31996,21967091,137.0,135.5,138.5
,"Nevada","32",40180,32186092,115.7,114.5,116.8
,"New Hampshire","33",25864,15691357,137.2,135.5,138.9
,"New Jersey","34",180195,103902790,159.8,159.0,160.5
,"New Mexico","35",30272,23908082,112.8,111.5,114.1
,"New York","36",370654,227751900,150.2,149.7,150.6
,"North Carolina","37",170584,110539670,142.8,142.1,143.5
,"North Dakota","38",13511,8548946,145.1,142.6,147.6
,"Ohio","39",200217,135945906,131.0,130.4,131.6
,"Oklahoma","40",58972,44441881,125.6,124.6,126.6
,"Oregon","41",65134,45877695,122.9,122.0,123.9
,"Pennsylvania","42",241496,148679457,134.5,133.9,135.0
,"Rhode Island","44",19582,12459595,138.0,136.0,140.0
,"South Carolina","45",86282,53874247,140.1,139.1,141.0
,"South Dakota","46",14997,9153305,143.6,141.3,146.0
,"Tennessee","47",102629,74460930,124.4,123.6,125.2
,"Texas","48",331498,302304859,124.9,124.5,125.4
,"Utah","49",38473,33589012,147.7,146.2,149.2
,"Vermont","50",11660,7445669,125.4,123.1,127.8
,"Virginia","51",127409,94251885,128.5,127.7,129.2
,"Washington","53",111226,81644071,130.3,129.5,131.1
,"West Virginia","54",32934,21602102,119.1,117.8,120.5
,"Wisconsin","55",105931,67688753,137.9,137.1,138.8
,"Wyoming","56",10103,6707350,133.4,130.7,136.1
"Total",,,5212384,3651032783,133.4,133.3,133.5
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Cancer Sites: Prostate"
"Group By: States"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Jul 31, 2026 7:35:06 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2024 submission; 2025"
"release. Accessed at http://wonder.cdc.gov/cancer-v2022.html on Jul 31, 2026 7:35:06 AM"
"---"
Caveats:
"1. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More"
"information: http://wonder.cdc.gov/wonder/help/cancer-v2022.html#Genital Cancers List."
"2. These states are missing data for the indicated year: Mississippi 1999-2002; South Dakota 1999-2000."
"3. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"4. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
