"Notes","States","States Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval
,"Alabama","01",24691,114321844,19.4,19.2,19.7
,"Alaska","02",2113,16787970,14.1,13.5,14.8
,"Arizona","04",39866,151531818,23.6,23.4,23.9
,"Arkansas","05",14269,69180566,18.4,18.1,18.7
,"California","06",196492,893593662,21.8,21.7,21.9
,"Colorado","08",27424,121976497,22.2,22.0,22.5
,"Connecticut","09",21444,85169975,21.7,21.4,22.0
,"Delaware","10",6538,21577686,26.0,25.3,26.6
,"District of Columbia","11",1369,14868354,9.0,8.5,9.5
,"Florida","12",137387,457004218,23.3,23.2,23.4
,"Georgia","13",54028,231144973,23.7,23.5,23.9
,"Hawaii","15",8038,32642455,21.2,20.7,21.6
,"Idaho","16",10804,37859278,27.6,27.1,28.1
,"Illinois","17",60852,305684510,18.7,18.6,18.9
,"Indiana","18",31976,155367376,19.3,19.1,19.5
,"Iowa","19",20416,73424095,24.9,24.5,25.2
,"Kansas","20",17519,68069731,24.2,23.8,24.5
,"Kentucky","21",28438,103608837,25.1,24.8,25.4
,"Louisiana","22",17683,109234693,15.6,15.3,15.8
,"Maine","23",9696,31897939,24.4,23.9,24.9
,"Maryland","24",33439,139295784,22.4,22.1,22.6
,"Massachusetts","25",36778,159755850,20.3,20.1,20.5
,"Michigan","26",52524,239855864,19.9,19.7,20.0
,"Minnesota","27",39207,128078066,28.5,28.2,28.8
,"Mississippi","28",11135,59020460,17.6,17.2,17.9
,"Missouri","29",28415,142540036,18.0,17.7,18.2
,"Montana","30",6582,23919772,23.7,23.1,24.2
,"Nebraska","31",10346,44134802,22.0,21.6,22.5
,"Nevada","32",12225,63687160,18.1,17.8,18.5
,"New Hampshire","33",10680,31699964,29.1,28.5,29.7
,"New Jersey","34",50272,212816216,21.0,20.8,21.2
,"New Mexico","35",9416,48317898,17.7,17.3,18.1
,"New York","36",86834,469524432,16.6,16.5,16.7
,"North Carolina","37",57941,226223006,23.6,23.4,23.8
,"North Dakota","38",3813,16834226,21.2,20.5,21.9
,"Ohio","39",67042,277792549,21.6,21.4,21.7
,"Oklahoma","40",17999,89703239,18.7,18.4,19.0
,"Oregon","41",27043,92406203,25.8,25.5,26.1
,"Pennsylvania","42",72454,304512851,20.0,19.9,20.2
,"Rhode Island","44",6571,25693495,22.0,21.5,22.6
,"South Carolina","45",27538,110692455,22.3,22.0,22.5
,"South Dakota","46",4594,18202344,22.8,22.2,23.5
,"Tennessee","47",31853,152373291,19.0,18.8,19.2
,"Texas","48",81752,607883479,14.3,14.2,14.4
,"Utah","49",19542,66705395,35.2,34.7,35.7
,"Vermont","50",5840,15080619,32.6,31.7,33.5
,"Virginia","51",39968,191580881,19.6,19.4,19.8
,"Washington","53",44641,163294431,25.7,25.4,25.9
,"West Virginia","54",11094,43772572,21.0,20.6,21.4
,"Wisconsin","55",32061,136118581,21.1,20.9,21.3
,"Wyoming","56",3303,13170425,23.2,22.4,24.0
"Total",,,1673945,7409632823,20.8,20.8,20.9
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Cancer Sites: Melanoma of the Skin"
"Group By: States"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Jul 31, 2026 7:30:30 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2024 submission; 2025"
"release. Accessed at http://wonder.cdc.gov/cancer-v2022.html on Jul 31, 2026 7:30:30 AM"
"---"
Caveats:
"1. These states are missing data for the indicated year: Mississippi 1999-2002; South Dakota 1999-2000."
"2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
