"Notes","States","States Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval
,"Alabama","01",9820,114321844,8.1,8.0,8.3
,"Alaska","02",1852,16787970,11.1,10.6,11.6
,"Arizona","04",19728,151531818,12.7,12.6,12.9
,"Arkansas","05",6616,69180566,9.1,8.9,9.3
,"California","06",100471,893593662,11.1,11.0,11.2
,"Colorado","08",16176,121976497,12.9,12.7,13.1
,"Connecticut","09",14481,85169975,16.0,15.7,16.2
,"Delaware","10",3091,21577686,13.5,13.0,14.0
,"District of Columbia","11",1810,14868354,11.6,11.0,12.1
,"Florida","12",55519,457004218,11.0,10.9,11.1
,"Georgia","13",23944,231144973,10.2,10.1,10.4
,"Hawaii","15",4468,32642455,13.0,12.6,13.3
,"Idaho","16",5049,37859278,13.5,13.1,13.9
,"Illinois","17",38783,305684510,12.3,12.2,12.4
,"Indiana","18",16653,155367376,10.5,10.3,10.7
,"Iowa","19",9304,73424095,12.3,12.1,12.6
,"Kansas","20",9426,68069731,13.7,13.4,14.0
,"Kentucky","21",13564,103608837,12.5,12.2,12.7
,"Louisiana","22",12319,109234693,11.0,10.8,11.2
,"Maine","23",4466,31897939,12.7,12.3,13.1
,"Maryland","24",18276,139295784,12.4,12.3,12.6
,"Massachusetts","25",26862,159755850,15.8,15.6,16.0
,"Michigan","26",27931,239855864,11.1,11.0,11.3
,"Minnesota","27",14691,128078066,11.2,11.0,11.3
,"Mississippi","28",5663,59020460,9.3,9.1,9.6
,"Missouri","29",16464,142540036,11.0,10.9,11.2
,"Montana","30",3282,23919772,13.1,12.6,13.6
,"Nebraska","31",5776,44134802,13.0,12.6,13.3
,"Nevada","32",8770,63687160,13.1,12.9,13.4
,"New Hampshire","33",4369,31699964,12.7,12.3,13.1
,"New Jersey","34",35995,212816216,15.9,15.7,16.1
,"New Mexico","35",6719,48317898,13.5,13.2,13.9
,"New York","36",78015,469524432,15.7,15.6,15.8
,"North Carolina","37",25278,226223006,10.7,10.5,10.8
,"North Dakota","38",2247,16834226,13.2,12.7,13.8
,"Ohio","39",34878,277792549,12.0,11.8,12.1
,"Oklahoma","40",9264,89703239,10.1,9.9,10.3
,"Oregon","41",10943,92406203,11.2,11.0,11.4
,"Pennsylvania","42",53528,304512851,16.4,16.3,16.6
,"Rhode Island","44",4223,25693495,15.5,15.0,16.0
,"South Carolina","45",11010,110692455,9.4,9.2,9.5
,"South Dakota","46",2270,18202344,12.3,11.8,12.9
,"Tennessee","47",17510,152373291,10.9,10.8,11.1
,"Texas","48",65219,607883479,11.0,10.9,11.1
,"Utah","49",9521,66705395,16.0,15.7,16.3
,"Vermont","50",1964,15080619,12.1,11.6,12.7
,"Virginia","51",21105,191580881,10.5,10.4,10.7
,"Washington","53",20048,163294431,11.8,11.6,11.9
,"West Virginia","54",6337,43772572,13.2,12.9,13.6
,"Wisconsin","55",16092,136118581,11.3,11.1,11.5
,"Wyoming","56",1731,13170425,12.8,12.2,13.5
"Total",,,933521,7409632823,12.1,12.1,12.1
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Cancer Sites: Thyroid"
"Group By: States"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Jul 31, 2026 7:41:45 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2024 submission; 2025"
"release. Accessed at http://wonder.cdc.gov/cancer-v2022.html on Jul 31, 2026 7:41:45 AM"
"---"
Caveats:
"1. These states are missing data for the indicated year: Mississippi 1999-2002; South Dakota 1999-2000."
"2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
