"Notes","States","States Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval
,"Alabama","01",58994,114321844,45.2,44.8,45.6
,"Alaska","02",6374,16787970,46.0,44.8,47.2
,"Arizona","04",62638,151531818,36.6,36.3,36.9
,"Arkansas","05",36376,69180566,45.5,45.1,46.0
,"California","06",354963,893593662,39.6,39.4,39.7
,"Colorado","08",43876,121976497,36.5,36.1,36.8
,"Connecticut","09",43827,85169975,43.0,42.6,43.4
,"Delaware","10",10817,21577686,42.4,41.6,43.2
,"District of Columbia","11",6550,14868354,45.4,44.3,46.5
,"Florida","12",259042,457004218,42.4,42.2,42.5
,"Georgia","13",99251,231144973,43.8,43.5,44.1
,"Hawaii","15",17098,32642455,43.9,43.3,44.6
,"Idaho","16",15285,37859278,38.4,37.8,39.1
,"Illinois","17",157350,305684510,47.6,47.4,47.9
,"Indiana","18",79536,155367376,46.9,46.5,47.2
,"Iowa","19",42972,73424095,48.6,48.1,49.1
,"Kansas","20",33384,68069731,44.4,44.0,44.9
,"Kentucky","21",60611,103608837,52.2,51.8,52.7
,"Louisiana","22",58027,109234693,50.0,49.5,50.4
,"Maine","23",18168,31897939,43.6,42.9,44.2
,"Maryland","24",61617,139295784,41.1,40.8,41.4
,"Massachusetts","25",76901,159755850,41.5,41.2,41.8
,"Michigan","26",117860,239855864,43.1,42.9,43.4
,"Minnesota","27",58512,128078066,41.6,41.2,41.9
,"Mississippi","28",32647,59020460,49.8,49.3,50.4
,"Missouri","29",75750,142540036,46.2,45.9,46.6
,"Montana","30",12214,23919772,41.8,41.1,42.6
,"Nebraska","31",23471,44134802,47.6,47.0,48.2
,"Nevada","32",27448,63687160,40.9,40.4,41.4
,"New Hampshire","33",15463,31699964,41.4,40.8,42.1
,"New Jersey","34",113267,212816216,46.5,46.3,46.8
,"New Mexico","35",19823,48317898,36.7,36.1,37.2
,"New York","36",235413,469524432,44.1,43.9,44.3
,"North Carolina","37",102386,226223006,41.1,40.9,41.4
,"North Dakota","38",9124,16834226,47.3,46.3,48.3
,"Ohio","39",146536,277792549,45.4,45.1,45.6
,"Oklahoma","40",44845,89703239,45.5,45.1,45.9
,"Oregon","41",41693,92406203,38.8,38.4,39.2
,"Pennsylvania","42",178812,304512851,46.7,46.5,46.9
,"Rhode Island","44",13285,25693495,42.9,42.2,43.7
,"South Carolina","45",53827,110692455,42.6,42.2,42.9
,"South Dakota","46",9797,18202344,45.9,45.0,46.9
,"Tennessee","47",73687,152373291,43.2,42.9,43.6
,"Texas","48",237677,607883479,42.0,41.8,42.1
,"Utah","49",17941,66705395,33.4,32.9,33.9
,"Vermont","50",7361,15080619,39.7,38.8,40.7
,"Virginia","51",80896,191580881,39.5,39.3,39.8
,"Washington","53",68330,163294431,39.3,39.0,39.6
,"West Virginia","54",28751,43772572,50.9,50.3,51.5
,"Wisconsin","55",65833,136118581,41.9,41.6,42.3
,"Wyoming","56",5654,13170425,39.1,38.0,40.1
"Total",,,3521960,7409632823,43.1,43.1,43.1
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Cancer Sites: Colon and Rectum"
"Group By: States"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Jul 31, 2026 7:29:08 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2024 submission; 2025"
"release. Accessed at http://wonder.cdc.gov/cancer-v2022.html on Jul 31, 2026 7:29:08 AM"
"---"
Caveats:
"1. These states are missing data for the indicated year: Mississippi 1999-2002; South Dakota 1999-2000."
"2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
