"Notes","States","States Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval
,"Alabama","01",8186,58860512,11.6,11.3,11.8
,"Alaska","02",827,8029331,11.1,10.3,11.9
,"Arizona","04",10269,75994937,11.7,11.4,11.9
,"Arkansas","05",4587,35184737,10.9,10.6,11.3
,"California","06",58014,448352192,12.1,12.0,12.2
,"Colorado","08",7598,60559259,11.7,11.4,11.9
,"Connecticut","09",6564,43637744,12.1,11.8,12.4
,"Delaware","10",1600,11110982,11.6,11.1,12.2
,"District of Columbia","11",951,7819442,11.8,11.1,12.6
,"Florida","12",38144,233207410,12.3,12.2,12.5
,"Georgia","13",14501,118075677,11.6,11.4,11.8
,"Hawaii","15",1926,16238111,10.1,9.6,10.6
,"Idaho","16",2436,18867538,11.8,11.3,12.2
,"Illinois","17",21342,155403188,12.0,11.9,12.2
,"Indiana","18",10541,78759621,11.6,11.4,11.8
,"Iowa","19",5494,37004028,12.0,11.7,12.4
,"Kansas","20",4477,34196000,11.5,11.2,11.9
,"Kentucky","21",6737,52569726,10.9,10.7,11.2
,"Louisiana","22",6391,55887225,10.2,9.9,10.4
,"Maine","23",2288,16265909,10.6,10.2,11.1
,"Maryland","24",9329,71792933,11.3,11.0,11.5
,"Massachusetts","25",11631,82250098,11.7,11.4,11.9
,"Michigan","26",17812,121751100,12.4,12.2,12.5
,"Minnesota","27",8300,64312490,11.3,11.0,11.5
,"Mississippi","28",3330,30351419,9.5,9.2,9.9
,"Missouri","29",9397,72630353,10.9,10.6,11.1
,"Montana","30",1885,11890209,12.7,12.2,13.3
,"Nebraska","31",2790,22167711,11.0,10.6,11.4
,"Nevada","32",4001,31501068,11.5,11.2,11.9
,"New Hampshire","33",2363,16008607,12.0,11.5,12.5
,"New Jersey","34",17191,108913426,13.1,12.9,13.3
,"New Mexico","35",3285,24409816,11.6,11.2,12.0
,"New York","36",36635,241772532,12.8,12.6,12.9
,"North Carolina","37",15178,115683336,11.3,11.1,11.5
,"North Dakota","38",1050,8285280,10.9,10.2,11.6
,"Ohio","39",20021,141846643,11.7,11.5,11.9
,"Oklahoma","40",6330,45261358,12.1,11.8,12.4
,"Oregon","41",6883,46528508,12.2,11.9,12.5
,"Pennsylvania","42",25210,155833394,12.6,12.5,12.8
,"Rhode Island","44",1858,13233900,11.4,10.9,12.0
,"South Carolina","45",7029,56818208,10.4,10.1,10.6
,"South Dakota","46",1213,9049039,11.2,10.6,11.9
,"Tennessee","47",10138,77912361,11.1,10.9,11.3
,"Texas","48",35784,305578620,11.7,11.5,11.8
,"Utah","49",3311,33116383,11.4,11.0,11.8
,"Vermont","50",1065,7634950,11.1,10.4,11.8
,"Virginia","51",12134,97328996,10.9,10.7,11.1
,"Washington","53",11435,81650360,12.4,12.1,12.6
,"West Virginia","54",3808,22170470,13.3,12.8,13.7
,"Wisconsin","55",10452,68429828,12.8,12.6,13.1
,"Wyoming","56",858,6463075,11.6,10.8,12.4
"Total",,,514579,3758600040,11.8,11.8,11.9
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Cancer Sites: Ovary"
"Group By: States"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Jul 31, 2026 7:36:20 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2024 submission; 2025"
"release. Accessed at http://wonder.cdc.gov/cancer-v2022.html on Jul 31, 2026 7:36:20 AM"
"---"
Caveats:
"1. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More"
"information: http://wonder.cdc.gov/wonder/help/cancer-v2022.html#Genital Cancers List."
"2. These states are missing data for the indicated year: Mississippi 1999-2002; South Dakota 1999-2000."
"3. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"4. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
