"Notes","States","States Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval
,"Alabama","01",8478,114321844,6.5,6.3,6.6
,"Alaska","02",1080,16787970,7.8,7.3,8.3
,"Arizona","04",9412,151531818,5.5,5.4,5.6
,"Arkansas","05",4896,69180566,6.1,5.9,6.3
,"California","06",70366,893593662,7.9,7.8,7.9
,"Colorado","08",6469,121976497,5.4,5.3,5.5
,"Connecticut","09",8247,85169975,8.1,7.9,8.3
,"Delaware","10",1731,21577686,6.8,6.4,7.1
,"District of Columbia","11",1264,14868354,8.8,8.3,9.3
,"Florida","12",38336,457004218,6.3,6.2,6.3
,"Georgia","13",15171,231144973,6.8,6.7,6.9
,"Hawaii","15",3913,32642455,9.9,9.6,10.2
,"Idaho","16",2026,37859278,5.1,4.9,5.3
,"Illinois","17",24025,305684510,7.3,7.2,7.4
,"Indiana","18",9640,155367376,5.7,5.6,5.8
,"Iowa","19",4558,73424095,5.2,5.0,5.3
,"Kansas","20",3993,68069731,5.3,5.1,5.5
,"Kentucky","21",7345,103608837,6.3,6.2,6.5
,"Louisiana","22",8890,109234693,7.7,7.5,7.9
,"Maine","23",2477,31897939,5.9,5.6,6.1
,"Maryland","24",10202,139295784,6.8,6.7,6.9
,"Massachusetts","25",12834,159755850,6.9,6.8,7.0
,"Michigan","26",18151,239855864,6.6,6.5,6.7
,"Minnesota","27",8018,128078066,5.7,5.6,5.8
,"Mississippi","28",4626,59020460,7.1,6.9,7.3
,"Missouri","29",9164,142540036,5.6,5.5,5.7
,"Montana","30",1547,23919772,5.3,5.0,5.6
,"Nebraska","31",2567,44134802,5.2,5.0,5.4
,"Nevada","32",3847,63687160,5.8,5.6,6.0
,"New Hampshire","33",2119,31699964,5.7,5.4,5.9
,"New Jersey","34",20237,212816216,8.3,8.2,8.4
,"New Mexico","35",3707,48317898,6.9,6.7,7.1
,"New York","36",47434,469524432,8.9,8.8,9.0
,"North Carolina","37",15751,226223006,6.3,6.2,6.4
,"North Dakota","38",1113,16834226,5.7,5.4,6.1
,"Ohio","39",19864,277792549,6.1,6.0,6.2
,"Oklahoma","40",5480,89703239,5.6,5.4,5.7
,"Oregon","41",5738,92406203,5.3,5.2,5.5
,"Pennsylvania","42",25566,304512851,6.7,6.6,6.7
,"Rhode Island","44",2415,25693495,7.8,7.5,8.1
,"South Carolina","45",8624,110692455,6.8,6.7,7.0
,"South Dakota","46",1109,18202344,5.2,4.9,5.5
,"Tennessee","47",9798,152373291,5.7,5.6,5.9
,"Texas","48",39623,607883479,7.0,7.0,7.1
,"Utah","49",2558,66705395,4.8,4.6,5.0
,"Vermont","50",953,15080619,5.2,4.8,5.5
,"Virginia","51",12287,191580881,6.0,5.9,6.1
,"Washington","53",10658,163294431,6.1,6.0,6.2
,"West Virginia","54",3355,43772572,5.9,5.7,6.1
,"Wisconsin","55",9721,136118581,6.2,6.0,6.3
,"Wyoming","56",697,13170425,4.8,4.4,5.2
"Total",,,552080,7409632823,6.8,6.7,6.8
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2022 Incidence"
"Query Parameters:"
"Cancer Sites: Stomach"
"Group By: States"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2022.html for more information."
"---"
"Query Date: Jul 31, 2026 7:49:48 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2022, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2024 submission; 2025"
"release. Accessed at http://wonder.cdc.gov/cancer-v2022.html on Jul 31, 2026 7:49:48 AM"
"---"
Caveats:
"1. These states are missing data for the indicated year: Mississippi 1999-2002; South Dakota 1999-2000."
"2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
