SUBMISSIONYEARQUARTER,PWSID,VIOLATION_ID,VIOLATION_CATEGORY_CODE,IS_HEALTH_BASED_IND,CONTAMINANT_CODE
2026Q2,WV9902015,72002,MCL,Y,1040
2026Q2,WV9902027,62109,MCL,Y,1040
2026Q2,WV9902027,62113,MCL,Y,1040
2026Q2,WV9902027,62115,MCL,Y,1040
2026Q2,WV9902027,62305,MCL,Y,1041
2026Q2,WV9913096,487041,MCL,Y,1041
2026Q2,WV9919051,614600,MCL,Y,1040
2026Q2,WV9919051,614700,MCL,Y,1040
2026Q2,WV9919051,614801,MCL,Y,1040
2026Q2,WV9919051,618203,MCL,Y,1040
2026Q2,WV9919051,618403,MCL,Y,1040
2026Q2,WV9919051,618503,MCL,Y,1040
2026Q2,WV9919051,627615,MCL,Y,1040
2026Q2,WV9919075,132498,MCL,Y,1040
2026Q2,WV9919080,136198,MCL,Y,1040
2026Q2,WV9919095,85,MCL,Y,1040
2026Q2,WV9920086,123,MCL,Y,1041
2026Q2,WV9930123,446402,MCL,Y,1040
2026Q2,WY5600021,12181,MCL,Y,1040
2026Q2,WY5600051,410,MCL,Y,1038
2026Q2,WY5600071,9000482,MCL,Y,1040
2026Q2,WY5600164,1800,MCL,Y,1040
2026Q2,WY5600171,4003915,MCL,Y,1038
2026Q2,WY5600171,4003917,MCL,Y,1038
2026Q2,WY5600171,4003918,MCL,Y,1038
2026Q2,WY5600171,4003920,MCL,Y,1038
2026Q2,WY5600171,4003922,MCL,Y,1038
2026Q2,WY5600171,4003924,MCL,Y,1038
2026Q2,WY5600214,4015693,MCL,Y,1038
2026Q2,WY5600214,4015696,MCL,Y,1038
2026Q2,WY5600298,4000289,MCL,Y,1038
2026Q2,WY5600298,4000291,MCL,Y,1038
2026Q2,WY5600298,4000292,MCL,Y,1038
2026Q2,WY5600298,4000294,MCL,Y,1038
2026Q2,WY5600298,4000297,MCL,Y,1038
2026Q2,WY5600584,200,MCL,Y,1040
2026Q2,WY5601066,919,MCL,Y,1038
2026Q2,WY5601102,2413,MCL,Y,1038
2026Q2,WY5601146,1708,MCL,Y,1038
2026Q2,WY5601146,1714,MCL,Y,1038
2026Q2,WY5601146,1715,MCL,Y,1038
2026Q2,WY5601146,701,MCL,Y,1038
2026Q2,WY5601188,299,MCL,Y,1038
2026Q2,WY5601233,1820,MCL,Y,1038
2026Q2,WY5601233,1822,MCL,Y,1038
2026Q2,WY5601233,1823,MCL,Y,1038
2026Q2,WY5601233,1832,MCL,Y,1038
2026Q2,WY5601233,1835,MCL,Y,1038
2026Q2,WY5601419,10704,MCL,Y,1038
2026Q2,WY5601532,614,MCL,Y,1038
2026Q2,WY5601586,213,MCL,Y,1038
2026Q2,WY5601586,220,MCL,Y,1038
2026Q2,WY5601586,226,MCL,Y,1038
2026Q2,WY5601586,229,MCL,Y,1038
2026Q2,WY5601644,56,MCL,Y,1038
2026Q2,WY5601644,68,MCL,Y,1038
2026Q2,ID6030003,2902,MCL,Y,1040
2026Q2,CA5000252,8200117,MCL,Y,1040
2026Q2,IA0709205,8899,MCL,Y,1040
2026Q2,WA5323240,0465846,MCL,Y,1040
2026Q2,NY5503406,26182,MCL,Y,1040
2026Q2,CA3310016,8300345,MCL,Y,1040
2026Q2,KS2001301,46980,MCL,Y,1040
2026Q2,TX1110102,4001697,MCL,Y,1040
2026Q2,IA5343200,1138282,MCL,Y,1040
2026Q2,TX0900002,1384980,MCL,Y,1040
2026Q2,PA7670977,9100291,MCL,Y,1040
2026Q2,DE0002598,11190,MCL,Y,1040
2026Q2,CA5601114,8417711,MCL,Y,1040
2026Q2,MD1121075,1,MCL,Y,1040
2026Q2,TX0680013,190,MCL,Y,1040
2026Q2,WA5314176,0337656,MCL,Y,1040
2026Q2,NY5103703,4587,MCL,Y,1040
2026Q2,DE0003303,4791,MCL,Y,1040
2026Q2,DE0000171,293,MCL,Y,1040
2026Q2,MI0820074,8615012,MCL,Y,1040
2026Q2,DE0000157,3482,MCL,Y,1040
2026Q2,DE0002303,5593,MCL,Y,1040
2026Q2,PA7360071,8535330,MCL,Y,1040
2026Q2,PA6250014,8530598,MCL,Y,1040
2026Q2,WA5353250,0784793,MCL,Y,1040
2026Q2,TX0680069,199,MCL,Y,1040
2026Q2,CA5410012,8907997,MCL,Y,1040
2026Q2,DE0000834,793,MCL,Y,1040
2026Q2,MD1131018,8200413,MCL,Y,1040
2026Q2,AZ0407138,311283,MCL,Y,1040
2026Q2,CA3910003,8400474,MCL,Y,1040
2026Q2,TX1590001,3004398,MCL,Y,1040
2026Q2,MI2005375,8615364,MCL,Y,1040
2026Q2,CA3310044,8400355,MCL,Y,1040
2026Q2,CA2701151,8413656,MCL,Y,1040
2026Q2,WA5309677,0257802,MCL,Y,1040
2026Q2,CA0400038,8631535,MCL,Y,1040
2026Q2,WI7500101,8000012,MCL,Y,1040
2026Q2,TX0680046,389,MCL,Y,1040
2026Q2,WY5600075,521180,MCL,Y,1040
2026Q2,NY4117771,60081,MCL,Y,1040
2026Q2,IL2015364,1208090,MCL,Y,1040
2026Q2,KS2013504,8343983,MCL,Y,1040
2026Q2,CA3310059,8700314,MCL,Y,1040
2026Q2,OK2002804,103595,MCL,Y,1040
2026Q2,WI8020491,0500018,MCL,Y,1040
2026Q2,CA5602111,8631446,MCL,Y,1040
2026Q2,DE0001541,11490,MCL,Y,1040
2026Q2,CA3301654,8200152,MCL,Y,1040
2026Q2,FL5364109,0002474,MCL,Y,1040
2026Q2,IA6436087,216883,MCL,Y,1040
2026Q2,CA5400562,8417633,MCL,Y,1040
2026Q2,CA3310018,8500075,MCL,Y,1040
2026Q2,NY5103703,7682,MCL,Y,1040
2026Q2,CA5100104,8524386,MCL,Y,1040
2026Q2,CA5602106,8630945,MCL,Y,1040
2026Q2,OK2002902,25895,MCL,Y,1040
2026Q2,ID5160004,3106,MCL,Y,1040
2026Q2,CA5000331,8200124,MCL,Y,1040
2026Q2,TX0120001,3000296,MCL,Y,1040
2026Q2,DE0000627,291,MCL,Y,1040
2026Q2,NE3150330,202593,MCL,Y,1040
2026Q2,AZ0407014,414183,MCL,Y,1040
2026Q2,IA6000744,9017485,MCL,Y,1040
2026Q2,NE3114104,421758,MCL,Y,1038
2026Q2,WA5349150,0722866,MCL,Y,1040
2026Q2,PA7361042,8535950,MCL,Y,1040
