state,state_fips,state_postal,overall_rate,hormone_rate,colorectal_rate,stomach_rate,avg_pesticide_kg,ag_land_acres,pesticide_intensity,nitrate_rate_per_system,nitrate_rate_per_100k_capita
Alabama,01,AL,450.7,49.76432040328377,45.2,6.5,4499862.24,8580940,0.524402016562288,0.0,0.0
Arizona,04,AZ,410.1,45.00213423578566,36.6,5.5,2143733.6,26125819,0.08205421617595988,0.0354306658521686,1.1146917915633976
Arkansas,05,AR,467.0,50.14616557936922,45.5,6.1,13158816.559999999,13888929,0.9474320561362218,0.0,0.0
California,06,CA,429.9,44.75044430339679,39.6,7.9,62554164.625,24522801,2.5508572460788637,0.06029000254388196,1.110026818388442
Colorado,08,CO,422.3,46.430298571767715,36.5,5.4,8777294.92,31820957,0.2758337821203806,0.008802816901408451,0.2659830901250453
Connecticut,09,CT,497.7,61.06181626305769,43.0,8.1,118368.62,381539,0.3102398968388553,0.001685630004214075,0.1340234648282221
Delaware,10,DE,502.1,61.3706759291831,42.4,6.8,762411.3,525324,1.4513163304931815,0.14473684210526316,9.321117585050962
Florida,12,FL,484.0,58.20641575020221,42.4,6.3,26737907.54,9731731,2.7474975972928144,0.002073828287017835,0.04445955871842832
Georgia,13,GA,475.1,47.65963647380397,43.8,6.8,16137091.919999998,9953730,1.6212105331368238,0.000839278220730172,0.01860613619207933
Idaho,16,ID,458.8,50.155017874086234,38.4,5.1,17195125.240000002,11691912,1.4706854824086943,0.012170385395537525,1.3583703630754183
Illinois,17,IL,483.0,52.024290643680786,47.6,7.3,29445792.22,27006288,1.0903309710686637,0.00803616273229533,0.26232531388453456
Indiana,18,IN,475.1,48.07256161415728,46.9,5.7,15380380.9,14969996,1.027413828300288,0.0060911016949152545,0.4010364175939907
Iowa,19,IA,490.8,54.913722274930144,48.6,5.2,29322273.080000002,30563878,0.9593767217628602,0.057660626029654036,3.34606857656012
Kansas,20,KS,469.4,52.130156409806055,44.4,5.3,26315705.080000002,45759319,0.575089526135649,0.1416184971098266,5.082309207692195
