SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,NM3501323,A,25,NM
2026Q2,MN5040620,A,50,MN
2026Q2,MN5480087,A,75,MN
2026Q2,MN5181096,A,300,MN
2026Q2,MN1640004,A,210,MN
2026Q2,NH1147050,A,87,NH
2026Q2,NH0986010,A,35,NH
2026Q2,NH0737020,A,215,MA
2026Q2,NH0707010,A,261,MA
2026Q2,NH0882140,A,100,NH
2026Q2,NH0028110,A,100,MA
2026Q2,OH5300112,A,2446,OH
2026Q2,OH4701103,A,9108,OH
2026Q2,OH3847212,A,130,OH
2026Q2,WY5600509,A,51,WY
2026Q2,OH8640112,A,27,OH
2026Q2,MN5860059,A,1600,MN
2026Q2,MN5310720,A,220,MN
2026Q2,MN5150024,A,25,MN
2026Q2,MN5110084,A,35,MN
2026Q2,MN5560306,A,75,MN
2026Q2,MN5860129,A,60,MN
2026Q2,IA4201001,A,1599,IA
2026Q2,IA3126304,A,115,IA
2026Q2,IA4903050,A,380,IA
2026Q2,IA2223011,A,1219,IA
2026Q2,MO5190968,A,500,MO
2026Q2,ND3900976,A,235,ND
2026Q2,WA53AC862,A,98,WA
2026Q2,OH1557512,A,204,OH
2026Q2,OH1557412,A,44,OH
2026Q2,VT0000782,A,59,VT
2026Q2,OH7400712,A,281,OH
2026Q2,MO1024147,A,245,MO
2026Q2,OH1301312,A,24092,OH
2026Q2,OH0800411,A,309,OH
2026Q2,NJ0202303,A,165,NJ
2026Q2,WA5342421,A,33,WA
2026Q2,WA5356398,A,177,WA
2026Q2,WA5364327,A,62,WA
2026Q2,WA53AA745,A,1000,WA
2026Q2,WA53AA775,A,220,WA
2026Q2,WA53AA849,A,41,WA
2026Q2,WA53AB004,A,80,WA
2026Q2,WA53AB005,A,41,WA
2026Q2,WA53AB285,A,14,WA
2026Q2,WA53AB292,A,119,WA
2026Q2,OH4700711,A,64152,OH
2026Q2,OH1502612,A,60,OH
2026Q2,OH5143919,A,79,OH
2026Q2,OH4560932,A,150,OH
2026Q2,OH4560922,A,75,OH
2026Q2,OH4560912,A,75,OH
2026Q2,OH5434512,A,170,OH
2026Q2,TX2320040,A,186,TX
2026Q2,MN5300008,A,150,MN
2026Q2,NC0188432,A,190,NC
2026Q2,NC1088034,A,25,NC
2026Q2,MN5330142,A,70,MN
2026Q2,MN5690146,A,55,MN
2026Q2,MN5040666,A,400,MN
2026Q2,MN5600279,A,25,MN
2026Q2,MN5850132,A,130,MN
2026Q2,OH3536112,A,170,OH
2026Q2,OH5532412,A,151,OH
2026Q2,IA5225805,A,130,IA
2026Q2,IA3609201,A,58,IA
2026Q2,IA7048320,A,26,IA
2026Q2,OH7799931,A,125,OH
2026Q2,OH6757412,A,260,OH
2026Q2,OH7657612,A,190,OH
2026Q2,OH2343312,A,402,OH
2026Q2,MN5230068,A,25,MN
2026Q2,MN5640176,A,30,MN
2026Q2,NC0136235,A,99,SC
2026Q2,MN1260003,A,1285,MN
2026Q2,MN5110946,A,150,MN
2026Q2,MN5020139,A,30,MN
2026Q2,MN5290352,A,120,MN
2026Q2,MN1450008,A,242,MN
2026Q2,MN5310825,A,50,MN
2026Q2,MN5560668,A,40,MN
2026Q2,MN5780028,A,25,MN
